カテゴリ,中国語,ピンイン,日本語,英語
数字・お金,一,yī,1,one
数字・お金,二,èr,2,two
数字・お金,三,sān,3,three
数字・お金,四,sì,4,four
数字・お金,五,wǔ,5,five
数字・お金,六,liù,6,six
数字・お金,七,qī,7,seven
数字・お金,八,bā,8,eight
数字・お金,九,jiǔ,9,nine
数字・お金,十,shí,10,ten
数字・お金,百,bǎi,100,hundred
数字・お金,千,qiān,1000,thousand
数字・お金,多少钱？,Duōshao qián?,いくらですか？,How much is it?
数字・お金,个,gè,個,piece
数字・お金,张,zhāng,枚,sheet
数字・お金,杯,bēi,杯,cup/glass
色,红色,hóngsè,赤,red
色,蓝色,lánsè,青,blue
色,白色,báisè,白,white
色,黑色,hēisè,黒,black
色,绿色,lǜsè,緑,green
色,黄色,huángsè,黄,yellow
曜日・時間,星期一,Xīngqī yī,月曜日,Monday
曜日・時間,星期日,Xīngqī rì,日曜日,Sunday
曜日・時間,今天,jīntiān,今日,today
曜日・時間,明天,míngtiān,明日,tomorrow
曜日・時間,昨天,zuótiān,昨日,yesterday
曜日・時間,现在,xiànzài,今,now
曜日・時間,等一下,děng yīxià,ちょっと待って／あとで,later / wait a moment
曜日・時間,早上,zǎoshang,朝,morning
曜日・時間,中午,zhōngwǔ,昼,noon
曜日・時間,晚上,wǎnshang,夜,evening/night
あいさつ,你好,nǐ hǎo,こんにちは,hello
あいさつ,早上好,zǎoshang hǎo,おはよう,good morning
あいさつ,晚上好,wǎnshang hǎo,こんばんは,good evening
あいさつ,谢谢,xièxie,ありがとう,thank you
あいさつ,对不起,duìbuqǐ,ごめんなさい,sorry
あいさつ,请,qǐng,お願いします,please
あいさつ,没关系,méiguānxì,大丈夫,no problem
あいさつ,我不懂,wǒ bù dǒng,わかりません,I don't understand
場所・方向,左边,zuǒbiān,左,left
場所・方向,右边,yòubiān,右,right
場所・方向,前面,qiánmiàn,前,front
場所・方向,后面,hòumiàn,後ろ,back
場所・方向,这里,zhèlǐ,ここ,here
場所・方向,那里,nàlǐ,そこ／あそこ,there
場所・方向,厕所,cèsuǒ,トイレ,toilet
場所・方向,火车站,huǒchēzhàn,駅,train station
場所・方向,酒店,jiǔdiàn,ホテル,hotel
場所・方向,医院,yīyuàn,病院,hospital
食べ物・飲み物,水,shuǐ,水,water
食べ物・飲み物,茶,chá,お茶,tea
食べ物・飲み物,咖啡,kāfēi,コーヒー,coffee
食べ物・飲み物,面包,miànbāo,パン,bread
食べ物・飲み物,米饭,mǐfàn,ご飯,rice
食べ物・飲み物,肉,ròu,肉,meat
食べ物・飲み物,鱼,yú,魚,fish
食べ物・飲み物,蔬菜,shūcài,野菜,vegetable
食べ物・飲み物,水果,shuǐguǒ,果物,fruit
食べ物・飲み物,好吃,hǎochī,美味しい,delicious
食べ物・飲み物,难吃,nánchī,まずい,not tasty
食べ物・飲み物,我饿了,wǒ è le,お腹すいた,I'm hungry
家族・人,爸爸,bàba,父,father
家族・人,妈妈,māma,母,mother
家族・人,兄弟,xiōngdì,兄弟,brothers
家族・人,姐妹,jiěmèi,姉妹,sisters
家族・人,朋友,péngyou,友達,friend
家族・人,孩子,háizi,子ども,child
基本動詞,去,qù,行く,go
基本動詞,来,lái,来る,come
基本動詞,看,kàn,見る,see/look
基本動詞,听,tīng,聞く,listen
基本動詞,吃,chī,食べる,eat
基本動詞,喝,hē,飲む,drink
基本動詞,买,mǎi,買う,buy
基本動詞,要,yào,欲しい,want
基本動詞,有,yǒu,ある,have
基本動詞,没有,méiyǒu,ない,not have
天気・自然,晴天,qíngtiān,晴れ,sunny
天気・自然,下雨,xià yǔ,雨,rain
天気・自然,下雪,xià xuě,雪,snow
天気・自然,热,rè,暑い,hot
天気・自然,冷,lěng,寒い,cold
